Job Title,Job Family,Career Track and Level,Job Description
,,,
,,,
Document Specialist,Legal Support Services,P3-4,"Responsible for managing, organizing, and maintaining collections of books, digital media, and other resources to ensure efficient retrieval and use. Assists patrons with research, information location, and use of library technologies while promoting literacy and lifelong learning. Develops and implements programs and services tailored to meet community or institutional needs. Evaluates and selects new acquisitions based on relevance and quality, and ensures accurate cataloging and classification. Strong organizational, research, communication, and technology skills are required for success in this role."
Design Project Manager,Delivery & Implementation,M3,"Overseeing the planning and execution of design projects, this professional coordinates teams of architects, engineers, and designers to ensure deliverables meet client requirements and industry standards. Responsibilities include budgeting, scheduling, resource allocation, and risk management throughout the project lifecycle. Strong leadership and communication skills are essential for facilitating collaboration between multidisciplinary teams and stakeholders. Proficiency in project management software and a solid understanding of architectural and engineering principles are required. Ensuring regulatory compliance and delivering projects on time and within budget are key measures of success in this role."
Events Manager,Event Planning,M4,"This role is responsible for organizing, coordinating, and executing a wide range of events, such as conferences, meetings, and conventions. Key duties include budgeting, selecting venues, managing vendors, arranging logistics, and ensuring smooth on-site operations. The position requires excellent organizational and time-management skills, strong communication abilities, and attention to detail. Collaboration with clients and internal teams is essential to meet objectives and deliver memorable experiences. Problem-solving skills and adaptability are also necessary to resolve last-minute challenges and prioritize client satisfaction."
Sales Enablement Manager,Field Sales,M3-4,"Responsible for developing and implementing strategies to equip sales teams with the tools, content, and training necessary to drive revenue growth. Oversees the creation and optimization of processes related to onboarding, coaching, and ongoing professional development for sales staff. Collaborates closely with marketing, product, and sales leadership to align messaging and ensure world-class customer engagement. Uses analytical skills to assess sales performance data and identify areas for improvement. Requires strong leadership, communication, project management, and organizational skills to effectively support and advance team objectives."
,,,
Application Security Engineer,Cybersecurity,P3-4,"This role is responsible for assessing, testing, and improving the security of software applications throughout the development lifecycle. The position involves identifying vulnerabilities, recommending mitigation strategies, and collaborating closely with development teams to implement best security practices. Strong working knowledge of application security principles, coding languages, and security tools such as static and dynamic analysis scanners is required. Daily tasks may include performing code reviews, penetration testing, and responding to security incidents that impact applications. Excellent problem-solving, communication, and analytical skills are essential to anticipate threats and ensure robust protection for digital assets."
Technical Program Manager,Program Management,M2-6,"This role oversees the planning and execution of technical training programs, ensuring alignment with organizational goals and technology initiatives. Responsibilities include analyzing skill gaps, designing curriculum, and coordinating cross-functional teams to deliver impactful learning experiences. The position requires strong project management abilities, technical expertise, and excellent communication skills to facilitate collaboration between engineers, trainers, and stakeholders. They evaluate training outcomes and adapt programs to emerging technologies and business needs. A successful candidate demonstrates leadership in fostering a culture of continuous learning and professional growth within the organization."
Creative Director,Graphic Design,M5,"Leads the conceptualization and execution of visual concepts for advertising, branding, or media campaigns, ensuring alignment with client or organizational objectives. Oversees design teams, providing guidance and feedback throughout the creative process from ideation to final delivery. Collaborates closely with copywriters, designers, and marketing professionals to develop cohesive and innovative solutions. Requires expertise in design principles, project management, and strong communication skills to articulate creative vision and maintain project timelines. Stays current with industry trends to inspire unique and engaging visual experiences."
Integration Specialist,Business Administration,P3-4,"This role is responsible for analyzing and improving organizational processes to ensure seamless integration between various business systems and technologies. The individual collaborates with cross-functional teams to identify integration needs, recommend solutions, and implement best practices for workflow optimization. Critical thinking, strong communication, and project management skills are essential to effectively assess performance metrics and document integration procedures. The position also involves monitoring ongoing integrations to ensure efficiency, compliance, and minimal disruption to daily operations. By leveraging data-driven insights, the role supports strategic decision-making and continuous process improvement within the organization."
Product Marketing Manager,Product Marketing,M3-4,"Responsible for developing and executing go-to-market strategies for products and services, this role collaborates cross-functionally with sales, product, and creative teams to ensure consistent messaging and market alignment. Analyzes customer insights, market trends, and competitive intelligence to inform positioning and campaign tactics. Oversees the creation of sales enablement tools, marketing collateral, and digital content to drive product adoption and demand generation. Requires excellent communication, analytical, and project management skills, along with deep understanding of both market research and product lifecycle management. Manages budgets, timelines, and performance metrics to achieve business objectives and maximize market impact."
,,,
Security Analyst,Cybersecurity,P1-6,"This role involves monitoring networks and systems for security breaches, investigating incidents, and responding to threats. Professionals in this position assess vulnerabilities, implement security tools, and ensure compliance with security policies. Key responsibilities include conducting risk analyses, preparing detailed incident reports, and developing strategies to minimize cyber risks. Strong analytical thinking, attention to detail, and proficiency with intrusion detection systems are essential. Effective communication and the ability to work under pressure are also required for success."
,,,
Sales Operations Specialist,Sales Operations,P3-4,"This role focuses on supporting and optimizing sales processes to drive efficiency and achieve revenue targets. Responsibilities include managing sales data, analyzing performance metrics, and coordinating between sales, marketing, and operations teams. Strong skills in data analysis, communication, and problem-solving are essential for success in this position. The individual will also assist in maintaining CRM systems and generating reports to support informed business decisions. Attention to detail and the ability to multitask in a fast-paced environment are highly valued."
Graphic Designer,Graphic Design,P4,"This creative professional conceptualizes and produces visual solutions that effectively communicate messages for print and digital media. Responsibilities include designing layouts, illustrations, and branding materials, collaborating with clients or teams to understand project objectives, and refining concepts based on feedback. Proficiency in graphic design software such as Adobe Creative Suite, along with strong typography, color theory, and composition skills, is essential. Attention to detail, creativity, and the ability to manage multiple projects under tight deadlines are required. Staying current with industry trends and best practices ensures visually engaging and impactful outcomes."
Product Design Director,UX/UI Design,M4,"Overseeing the entire design process, this leader shapes product vision and ensures alignment with business objectives. Responsibilities include managing design teams, setting strategic direction, and collaborating across departments to deliver innovative solutions. Strong project management, communication, and leadership skills are essential for prioritizing initiatives and allocating resources efficiently. The role involves establishing design standards, mentoring team members, and driving cross-functional decision making. Experience in user-centered design and a keen understanding of market trends are important for achieving organizational goals."
Case Development Specialist,Social Services,P3,"This role involves supporting attorneys by organizing case files, preparing legal documents, and coordinating communication between clients and legal teams. Responsibilities include managing deadlines, maintaining detailed records, and assisting with case research to ensure all necessary information is accessible. Proficiency in legal terminology, excellent organizational skills, and strong attention to detail are essential for success. The position requires effective written and verbal communication abilities, as well as the capacity to handle confidential information with discretion. Familiarity with legal software and office administration is highly valued to keep workflow efficient and compliant with regulations."
Security Engineer,Cybersecurity,P1-6,"This role focuses on designing, implementing, and maintaining robust security measures to protect an organization’s computer systems and networks. Responsibilities include monitoring for security breaches, investigating incidents, and developing response protocols to minimize risks. The position requires strong analytical skills, proficiency in threat detection tools, and a solid understanding of firewalls, encryption, and intrusion detection systems. Collaboration with IT and other departments ensures comprehensive security strategies are enforced and updated as threats evolve. Excellent communication and problem-solving abilities are essential for reporting findings and recommending improvements to strengthen information security posture."
Talent Acquisition Manager,Talent Acquisition,M3-4,"Responsible for overseeing the full recruitment cycle, this professional develops sourcing strategies, screens candidates, and leads interviews to attract top talent. They collaborate with department heads to identify staffing needs and create effective job postings. Utilizing strong interpersonal and negotiation skills, they manage candidate relationships and support hiring decisions. Staying informed about labor market trends and applicable employment laws is essential. Success in this role requires excellent organizational abilities, attention to detail, and proficiency with applicant tracking systems and recruitment platforms."
Data Engineer,Data Science & Analytics,P4,"This role is responsible for designing, constructing, and maintaining scalable data architectures that support advanced analytics and business intelligence solutions. Core responsibilities include developing robust data pipelines, optimizing data flow, and ensuring the integrity and quality of extracted and transformed data sets. Proficiency with programming languages such as Python or Scala, as well as experience with SQL, distributed computing, and data modeling, is essential. This position requires collaboration with data analysts, scientists, and other stakeholders to deliver accessible and reliable data for analytical projects. Strong problem-solving skills and a solid grasp of database systems and cloud platforms are crucial for success in this occupation."
Data Scientist,Data Science & Analytics,P1-7,"This role involves analyzing complex datasets to uncover actionable insights that inform business decisions. Responsibilities include developing predictive models, designing experiments, and visualizing data trends. Proficiency in programming languages such as Python or R, along with expertise in statistical analysis and machine learning, is essential. Collaboration with cross-functional teams to translate technical findings into practical solutions is a key aspect of the position. Strong communication and problem-solving skills are required to effectively interpret and present data-driven recommendations."
Sales Director,Field Sales,M4,"Responsible for leading and overseeing organizational sales strategies, this role involves setting targets, analyzing market trends, and driving revenue growth. Duties include managing sales teams, developing training programs, and fostering strong client relationships to expand the customer base. Success in this position requires excellent leadership, communication, and negotiation skills, along with a deep understanding of sales analytics and forecasting. The individual will collaborate cross-functionally with marketing and product departments to ensure alignment of objectives. Expertise in strategic planning and a proven ability to achieve ambitious sales goals are essential for success in this management role within the sales field."
Sales Operations Manager,Sales Operations,M3-4,"This role is responsible for optimizing and overseeing sales processes to ensure the team meets its revenue targets. Key duties include analyzing sales data, implementing efficient procedures, and coordinating between departments to drive business growth. Strong analytical abilities, excellent communication skills, and experience with CRM software are required. The position involves creating forecasts, setting performance metrics, and supporting the sales team with training and resources. Leadership and strategic planning skills are essential for developing and executing sales strategies in alignment with organizational goals."
Quality Assurance Manager,Quality Assurance,M2-4,"Overseeing all aspects of product quality, this role ensures manufacturing processes meet established standards and comply with regulations. Responsibilities include developing and implementing quality control systems, supervising quality assurance teams, and collaborating with production managers to resolve issues. The position requires strong analytical skills, attention to detail, and proficiency in root cause analysis and process improvement methodologies. Effective communication and leadership abilities are essential for training staff and fostering a culture of continuous improvement. Familiarity with industry standards and regulatory guidelines is critical to maintain compliance and drive operational excellence."
,,,
Marketing Operations Manager,Brand Marketing,M4,"Responsible for designing and optimizing marketing processes to support campaign execution and lead management. Oversees the implementation and effectiveness of marketing technologies, ensuring seamless data integration and reporting across platforms. Collaborates closely with cross-functional teams to align marketing strategies with business objectives and drive measurable results. Strong analytical skills and proficiency with marketing automation tools are essential for success in this role. Requires experience in project management, process improvement, and effective communication to coordinate initiatives and maximize efficiency."
,,,
Email Marketing Manager,Digital Marketing,M3-4,"Responsible for developing and executing targeted email marketing campaigns that drive customer engagement and revenue growth. Oversees audience segmentation, content creation, A/B testing, and campaign performance analysis to ensure optimal results. Collaborates with creative, sales, and product teams to align messaging and strategy with overall business objectives. Requires strong project management, analytical, and copywriting skills, along with expertise in email automation platforms and data-driven decision making. Stays current with industry trends and compliance standards to continuously refine best practices."
,,,
Quality Assurance Engineer,Quality Assurance,P5,"Responsible for designing and executing test plans to ensure the functionality, reliability, and performance of software applications. Collaborates closely with developers and product teams to identify software defects, document issues, and verify resolutions. Utilizes automated and manual testing techniques, as well as specialized testing tools, to validate code quality and compliance with industry standards. Requires strong analytical skills, attention to detail, and proficiency in scripting or programming languages relevant to software testing. Demonstrates an understanding of the software development lifecycle (SDLC) and quality assurance methodologies within a collaborative team environment."
,,,
Project Manager,Project Management,M3,"This role is responsible for planning, executing, and closing projects within designated timelines and budgets. Duties include defining project scope, setting objectives, coordinating cross-functional teams, and managing resources. The position requires strong organizational, communication, and leadership skills to effectively guide team members and ensure stakeholder satisfaction. Additional responsibilities involve risk management, progress monitoring, and providing regular updates to senior management. Proficiency in project management tools and methodologies is essential for successful project delivery."
Sales Development Representative,Field Sales,S2-4,"This role is responsible for identifying and qualifying potential clients to generate new business opportunities. Key duties include conducting outbound prospecting via calls and emails, managing and updating customer relationship management (CRM) systems, and scheduling meetings between prospects and account executives. Strong communication and interpersonal skills are essential for effectively engaging leads and understanding client needs. The ability to work independently, meet targets, and manage time efficiently is required. Familiarity with sales processes and digital outreach tools is highly valued in this service-focused position."
Digital Marketing Analyst,Digital Marketing,P4,"This role involves analyzing online marketing data to evaluate campaign performance and identify trends that drive business growth. Responsibilities include monitoring web analytics, creating reports, and providing actionable recommendations to optimize digital strategies. Proficiency in data analysis tools, such as Google Analytics and Excel, is essential, along with strong problem-solving and communication skills. Collaboration with marketing teams to develop audience targeting and measure ROI is a key part of the job. The position requires the ability to interpret complex data and present clear, concise insights to stakeholders."
Implementation Manager,Customer Onboarding,M2,"This role oversees the successful deployment of new products, services, or systems within an organization, ensuring projects are completed on time and within budget. Responsibilities include coordinating cross-functional teams, managing client relationships, and troubleshooting implementation issues as they arise. Strong leadership, project management, and communication skills are essential for effective coordination and guidance of personnel. The position requires analytical thinking to assess processes, identify improvements, and streamline operations. Previous experience in team management and a solid understanding of organizational procedures are advantageous."
Salesforce Administrator,Sales Operations,P2,"This role oversees the effective configuration, maintenance, and optimization of the Salesforce platform to support organizational objectives. Responsibilities include managing user accounts, permissions, data integrity, and implementing updates or customizations aligned with business needs. The position requires strong problem-solving abilities, technical expertise in CRM systems, and excellent communication skills for collaboration with cross-functional teams. Additionally, this professional ensures compliance with security standards and provides training or support to end-users. Experience in project management and a strategic approach to aligning technology solutions with business processes are essential."
,,,
Web Marketing Specialist,Brand Marketing,P3,"This role focuses on developing, implementing, and optimizing digital marketing campaigns to boost brand awareness and drive online engagement. Responsibilities include analyzing web metrics, conducting market research, and creating content strategies tailored to target audiences. Proficiency in SEO, pay-per-click advertising, and web analytics tools is essential for measuring campaign effectiveness and identifying opportunities for improvement. Strong communication and project management skills are required to coordinate with designers, developers, and external partners. The position also involves staying up-to-date with the latest digital marketing trends and best practices to ensure competitive positioning in the marketplace."
Onboarding Specialist,People Experience,P2-4,"Responsible for guiding new hires through the orientation and assimilation process, this role ensures a seamless transition into the organization. Duties include preparing documentation, conducting training sessions, and liaising between departments to address employee needs. Strong communication and interpersonal skills are essential to provide support and address concerns promptly. The position also requires excellent organizational abilities to manage multiple onboarding schedules and maintain accurate records. Familiarity with HR systems and compliance regulations is necessary to uphold company policies and procedures."
,,,
Marketing Operations Specialist,Brand Marketing,P3-4,"This role is responsible for optimizing and managing marketing processes to ensure the smooth execution of campaigns and initiatives. Key duties include analyzing marketing data, tracking campaign performance, and supporting the implementation of marketing automation tools. The ideal candidate possesses strong analytical skills, proficiency with CRM and marketing platforms, and excellent attention to detail. Collaborating with cross-functional teams, they help identify process improvements and ensure alignment with organizational goals. Strong communication abilities and project management skills are essential in supporting data-driven marketing strategies and continuous process enhancement."
Human Resources Consultant,HR Operations,P3,"This role provides expert guidance to organizations on HR policies, talent management strategies, and compliance with employment laws. Responsibilities include conducting audits of current HR practices, developing tailored solutions for workforce challenges, and facilitating training sessions for staff and management. Strong analytical and interpersonal skills are required to assess organizational needs and foster effective communication between stakeholders. The position demands up-to-date knowledge of labor laws, compensation structures, and best practices in recruitment and employee relations. Success in this role involves delivering actionable recommendations to optimize workplace performance and ensure regulatory compliance."
,,,
People Operations Manager,HR Operations,M3-4,"Responsible for overseeing all aspects of the employee lifecycle, this role ensures smooth HR processes, including recruitment, onboarding, and performance management. The position involves developing and implementing people strategies that align with organizational goals and foster a positive workplace culture. Key duties include managing employee relations, handling compliance with labor laws, and optimizing policies for efficiency and engagement. Strong interpersonal, communication, and problem-solving skills are essential, as is experience with HR software and data analysis. Demonstrated leadership in managing teams and driving organizational change is required to succeed in this dynamic environment."
,,,
Founder / Co-Founder,Founders & Owners,E3,"Leads the strategic vision, direction, and overall growth of the organization, ensuring all operations align with long-term objectives. Oversees decision-making processes related to business development, financial management, and resource allocation. Builds and maintains key partnerships, manages investor and stakeholder relationships, and secures funding opportunities. Demonstrates expertise in leadership, problem-solving, and effective communication, along with a strong ability to adapt to evolving market trends. Requires extensive knowledge of corporate governance, risk management, and organizational leadership within a dynamic business environment."
Director of Operations,Operations Leadership,E5,"This leadership role is responsible for overseeing daily organizational operations, ensuring efficiency and high performance across all departments. The position requires strategic planning, budgeting, and the development of operational policies to achieve business objectives. Strong analytical skills and the ability to lead, develop, and motivate teams are essential. Collaboration with executives and cross-functional managers to optimize processes and solve complex problems is a key aspect. Proven experience in operations management and excellent communication abilities are crucial for success in this role."
Salesforce Administrator,Sales Operations,P2-4,"This role oversees the effective configuration, maintenance, and optimization of the Salesforce platform to support organizational objectives. Responsibilities include managing user accounts, permissions, data integrity, and implementing updates or customizations aligned with business needs. The position requires strong problem-solving abilities, technical expertise in CRM systems, and excellent communication skills for collaboration with cross-functional teams. Additionally, this professional ensures compliance with security standards and provides training or support to end-users. Experience in project management and a strategic approach to aligning technology solutions with business processes are essential."
,,,
,,,
Software Engineering Director,Engineering Leadership,E5,"This role leads and manages multiple software engineering teams to deliver high-quality, scalable technology solutions. Responsibilities include overseeing project timelines, mentoring engineers, and ensuring best practices in software design and development. The position requires strong technical expertise in programming languages, architecture, and software lifecycle management. Effective communication and leadership skills are essential for aligning teams with business objectives and fostering a collaborative environment. Continuous evaluation of emerging technologies and driving process improvements are key components of success in this position."
,,,
People Operations Generalist,HR Operations,P3,"Responsible for overseeing daily HR functions, this professional manages employee relations, benefits administration, and onboarding processes to support organizational goals. They ensure compliance with labor laws while developing and implementing HR policies and procedures. Skilled in conflict resolution, they foster a positive work environment and address staff concerns promptly. Utilizing strong communication and organizational abilities, they maintain accurate records and support performance management initiatives. Proficiency with HR information systems and a solid understanding of workforce planning are essential for success in this role."
,,,
Data Analyst,Data Science & Analytics,P4,"This role involves collecting, processing, and interpreting large datasets to extract actionable insights that drive strategic decisions. Responsibilities include data cleansing, statistical analysis, and the creation of visualizations to communicate findings to both technical and non-technical stakeholders. Proficiency in programming languages such as Python or R, as well as expertise in SQL and data visualization tools, is essential. Strong problem-solving skills and the ability to work with complex datasets are required. The position supports organizational goals within the framework of data science, adhering to best practices in data management, analysis, and reporting."
Customer Service Manager,Client Experience,M4,"This role oversees daily operations of support teams to ensure high levels of customer satisfaction and efficient service delivery. Responsibilities include developing and implementing customer service policies, resolving escalated complaints, and analyzing performance metrics to drive continuous improvement. Strong leadership, communication, and problem-solving skills are essential for managing and motivating staff in a fast-paced environment. The position requires proficiency in conflict resolution, process optimization, and technology tools commonly used in support operations. Collaboration with other departments is also key to meeting organizational goals and maintaining quality standards."
Partnerships Manager,Channel Sales,M2-4,"This role is responsible for building and nurturing strategic relationships with external organizations to enhance the company’s brand visibility and drive mutual growth. Key duties include identifying partnership opportunities, negotiating collaboration agreements, and coordinating joint initiatives that align with organizational goals. Strong interpersonal and communication skills are essential for effectively managing stakeholder relationships and representing the company at industry events. The position also requires the ability to analyze partnership performance metrics and present recommendations to leadership. Experience in public relations, business development, and project management is crucial for success in this dynamic environment."
,,,
Human Resources Consultant,HR Operations,P3-4,"This role provides expert guidance to organizations on HR policies, talent management strategies, and compliance with employment laws. Responsibilities include conducting audits of current HR practices, developing tailored solutions for workforce challenges, and facilitating training sessions for staff and management. Strong analytical and interpersonal skills are required to assess organizational needs and foster effective communication between stakeholders. The position demands up-to-date knowledge of labor laws, compensation structures, and best practices in recruitment and employee relations. Success in this role involves delivering actionable recommendations to optimize workplace performance and ensure regulatory compliance."
People Operations Analyst,HR Operations,P3,"This role analyzes workforce data to identify trends, optimize staffing strategies, and enhance organizational efficiency. Responsibilities include developing models to forecast talent needs, evaluating HR policies, and recommending data-driven improvements to people management processes. Proficiency in statistical analysis, data visualization tools, and HR information systems is essential for success in this position. Strong communication and problem-solving skills are required to present findings and influence decision-making among leadership. Collaborating with cross-functional teams, the individual will ensure operational strategies align with overall business objectives."
Content Writer,Writing & Editing,P4,"Responsible for researching, creating, and editing original written materials for various platforms, this professional crafts engaging and informative content tailored to target audiences. Key duties include conducting thorough topic research, developing content outlines, and adhering to specific style and brand guidelines. Strong writing, grammar, and communication skills are essential, along with the ability to adapt tone and format for different mediums, such as blogs, websites, or marketing materials. Regular collaboration with editors, designers, and subject matter experts ensures content accuracy and effectiveness. Proficiency in SEO principles and content management systems is highly valued to optimize visibility and engagement."
,,,
Business Development Representative,Field Sales,P2-4,"Responsible for identifying and cultivating new business opportunities, this role conducts outreach to prospective clients and nurtures relationships to drive company growth. Key tasks include delivering informative presentations, training clients on products or services, and supporting onboarding processes to ensure alignment with organizational learning objectives. Strong communication, persuasion, and interpersonal skills are essential, as is the ability to tailor messaging for diverse audiences. This position analyzes market trends and client needs to tailor training and development initiatives that maximize client engagement and satisfaction. Success in this role requires a blend of instructional ability, sales acumen, and a passion for supporting client development and retention."
Content Marketer,Brand Marketing,P3,"This professional develops and implements engaging strategies to promote brand awareness and drive customer engagement across digital platforms. They research target audiences and analyze market trends to inform content creation and distribution plans. Responsibilities include creating written and visual content, managing editorial calendars, and evaluating campaign performance metrics. Strong communication, creativity, and analytical skills are essential for success in this role. Proficiency with content management systems, SEO, and social media marketing tools is also required."
,,,
Revenue Analyst,Accounting,P4,"This role involves evaluating and interpreting financial data to optimize lending strategies and maximize profit margins for loan products. Responsibilities include analyzing loan performance, identifying revenue trends, and supporting pricing decisions through detailed financial modeling. The position requires strong analytical skills, proficiency in financial software, and a solid understanding of loan portfolio management. Regular collaboration with sales and underwriting teams ensures alignment on growth objectives and risk tolerances. Effective communication and problem-solving abilities are essential for recommending actionable insights to enhance lending processes."
Recruiter,Talent Acquisition,P2,"This role specializes in sourcing, screening, and interviewing candidates to fill various organizational staffing needs. It requires strong interpersonal and communication skills to effectively liaise with both hiring managers and job seekers. Responsibilities include developing job postings, conducting initial interviews, and coordinating the recruitment process from start to offer. Attention to detail and strong organizational abilities are essential for managing multiple open positions and maintaining accurate records. Familiarity with labor laws and applicant tracking systems is important to ensure compliance and efficiency throughout the hiring process."
Software Engineer,Software Engineering,P4,"Designs, develops, and tests software applications and systems to meet user needs and performance requirements. Collaborates with cross-functional teams to translate functional specifications into technical solutions. Writes clean, efficient code while following best practices in software development and version control. Troubleshoots, debugs, and maintains existing programs, ensuring reliability and scalability. Requires proficiency in programming languages, analytical problem-solving abilities, and familiarity with development frameworks and methodologies."
,,,
Events Manager,Event Planning,M3-4,"This role is responsible for organizing, coordinating, and executing a wide range of events, such as conferences, meetings, and conventions. Key duties include budgeting, selecting venues, managing vendors, arranging logistics, and ensuring smooth on-site operations. The position requires excellent organizational and time-management skills, strong communication abilities, and attention to detail. Collaboration with clients and internal teams is essential to meet objectives and deliver memorable experiences. Problem-solving skills and adaptability are also necessary to resolve last-minute challenges and prioritize client satisfaction."
Product Designer,UX/UI Design,P2,"This role focuses on creating and refining concepts for new or improved commercial and industrial products, balancing functionality, aesthetics, and user experience. Responsibilities include conducting user research, developing prototypes, and collaborating with engineering and marketing teams to ensure design feasibility and market fit. Proficiency in design software, strong visualization skills, and an understanding of manufacturing processes are essential. The position often requires presenting ideas and revisions to stakeholders, as well as iterating designs based on feedback. Attention to detail, problem-solving, and project management abilities are key for successfully bringing innovative products to market."
Copywriter,Writing & Editing,P2-4,"This role is responsible for crafting persuasive and engaging written content for a range of marketing channels, such as advertisements, websites, social media, and email campaigns. Duties include conducting research to understand target audiences, developing messaging strategies, and collaborating with designers and marketing teams to ensure brand consistency. Strong writing, editing, and storytelling abilities are essential, along with keen attention to detail. Creativity, adaptability, and the capacity to work under tight deadlines are key requirements. Familiarity with SEO principles and digital marketing trends is highly desirable."
Financial Analyst,Financial Planning & Analysis,P2-6,"This role evaluates loan applications by analyzing applicants’ financial status, credit, and property evaluations. Responsibilities include preparing detailed reports, verifying documentation, and ensuring compliance with lending policies and regulations. The position requires strong analytical skills, attention to detail, and the ability to communicate complex financial information clearly to clients and stakeholders. Proficiency in financial modeling and loan underwriting software is essential. Ensuring accurate risk assessments and facilitating responsible lending practices are key priorities in this position."
Product Management Director,Product Strategy,E5,"This role oversees the strategy, development, and lifecycle of product lines to drive organizational growth and market success. Responsibilities include leading cross-functional teams, setting product vision, and ensuring effective go-to-market execution. Strong leadership, analytical, and decision-making skills are essential, along with experience in managing budgets and performance metrics. The position requires collaborating with stakeholders to align product initiatives with overall business objectives. Proven ability to navigate complex business environments and deliver results is critical in this capacity."
,,,
Recruiter,Talent Acquisition,P2,"This role specializes in sourcing, screening, and interviewing candidates to fill various organizational staffing needs. It requires strong interpersonal and communication skills to effectively liaise with both hiring managers and job seekers. Responsibilities include developing job postings, conducting initial interviews, and coordinating the recruitment process from start to offer. Attention to detail and strong organizational abilities are essential for managing multiple open positions and maintaining accurate records. Familiarity with labor laws and applicant tracking systems is important to ensure compliance and efficiency throughout the hiring process."
,,,
Product Manager,Product Strategy,M2,"Overseeing the development and lifecycle of products, this role ensures alignment between company strategy and customer needs. Responsibilities include coordinating cross-functional teams, conducting market analysis, and defining product roadmaps. Strong leadership and communication skills are essential for driving project success and facilitating stakeholder collaboration. Financial acumen and the ability to interpret data guide effective decision-making. This position requires adaptability, organizational expertise, and a focus on delivering profitable, high-quality products within operational objectives."
Marketing Manager,Brand Marketing,M2-4,"Responsible for developing and executing strategic marketing plans to drive brand awareness, customer engagement, and revenue growth. Oversees market research, analyzes trends, and identifies opportunities for promotional campaigns. Manages and mentors a team, coordinates with cross-functional departments, and allocates budgets effectively. Strong leadership, communication, analytical, and project management skills are essential. Ensures all marketing activities align with organizational objectives and comply with industry standards."
,,,
Producer,Film & Video Production,M1-2,"Oversees the planning, coordination, and execution of creative projects such as film, television, or digital productions. Collaborates with writers, directors, and technical crews to ensure projects are completed on time, within budget, and meet quality standards. Manages financing, contracts, and schedules while addressing any challenges that arise during production. Requires strong leadership, decision-making, communication, and problem-solving skills. Ensures the final product aligns with the creative vision and organizational goals."
,,,
Demand Generation Director,Brand Marketing,M4,"Overseeing the strategy and execution of integrated marketing campaigns, this leader drives targeted customer acquisition and pipeline growth for the organization. They collaborate closely with sales, product, and digital teams to optimize lead generation initiatives. Analyzing market trends and campaign metrics, they ensure resources are allocated to the most impactful channels. Strong analytical, leadership, and communication skills are essential for aligning cross-functional teams and delivering measurable ROI. Deep expertise in digital marketing, marketing automation tools, and B2B campaign management is required."
,,,
People Operations Generalist,HR Operations,P3,"Responsible for overseeing daily HR functions, this professional manages employee relations, benefits administration, and onboarding processes to support organizational goals. They ensure compliance with labor laws while developing and implementing HR policies and procedures. Skilled in conflict resolution, they foster a positive work environment and address staff concerns promptly. Utilizing strong communication and organizational abilities, they maintain accurate records and support performance management initiatives. Proficiency with HR information systems and a solid understanding of workforce planning are essential for success in this role."
,,,
Compensation Analyst,Compensation & Benefits,P3-4,"This role is responsible for analyzing wage data to ensure pay structures are both competitive and equitable within the organization. Key duties include conducting compensation surveys, evaluating job descriptions, and recommending adjustments to salary structures. Strong analytical and quantitative skills are essential for interpreting data and producing detailed reports for management review. The position also requires a solid understanding of compensation laws and best practices. Excellent communication and organizational skills are needed to collaborate effectively with HR teams and support strategic decision-making."
Software Engineer,Software Engineering,P1-7,"Designs, develops, and tests software applications and systems to meet user needs and performance requirements. Collaborates with cross-functional teams to translate functional specifications into technical solutions. Writes clean, efficient code while following best practices in software development and version control. Troubleshoots, debugs, and maintains existing programs, ensuring reliability and scalability. Requires proficiency in programming languages, analytical problem-solving abilities, and familiarity with development frameworks and methodologies."
